"player","shirtnumber","nationality","position","age","minutes","goals","assists","pens_made","pens_att","shots","shots_on_target","cards_yellow","cards_red","touches","tackles","interceptions","blocks","xg","npxg","xg_assist","sca","gca","passes_completed","passes","passes_pct","progressive_passes","carries","progressive_carries","take_ons","take_ons_won","player_href","team","touches_def_pen_area","touches_def_3rd","touches_mid_3rd","touches_att_3rd","touches_att_pen_area","touches_live_ball","take_ons_won_pct","take_ons_tackled","take_ons_tackled_pct","carries_distance","carries_progressive_distance","carries_into_final_third","carries_into_penalty_area","miscontrols","dispossessed","passes_received","progressive_passes_received","league","season","match_date","home_team","away_team","match_url","gameweek","venue","fouls","fouled","offsides","crosses","tackles_won","own_goals","pens_won","pens_conceded"
"Sam Gallagher","20","eng ENG","LW","30-075","5","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","2","2","100.0","1","0","0","0","0","/en/players/44361ade/Sam-Gallagher","Stoke City","0","0","0","2","0","2","","0","","0","0","0","0","0","0","2","2","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Bae Junho","10","kr KOR","AM","22-100","90","0","0","0","0","2","1","0","0","41","1","1","0","0.2","0.2","0.3","7","1","27","31","87.1","5","22","0","3","2","/en/players/0895ffb1/Bae-Junho","Stoke City","1","3","25","13","3","41","66.7","0","0.0","91","30","1","0","2","0","29","7","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Ben Pearson","4","eng ENG","DM","30-329","85","0","0","0","0","0","0","0","0","52","0","1","4","0.0","0.0","0.0","0","0","38","46","82.6","4","15","0","3","1","/en/players/a6b461e7/Ben-Pearson","Stoke City","2","15","37","2","0","52","33.3","1","33.3","61","34","0","0","0","0","24","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Steven Nzonzi","15","fr FRA","DM","36-349","5","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","1","0","0","0","/en/players/c7526c18/Steven-Nzonzi","Stoke City","0","0","2","1","0","3","","0","","0","0","0","0","1","0","3","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Tatsuki Seko","12","jp JPN","DM","27-342","90","0","0","0","0","1","0","0","0","46","1","1","1","0.1","0.1","0.0","2","0","28","39","71.8","2","25","0","0","0","/en/players/a506a036/Tatsuki-Seko","Stoke City","0","8","34","5","1","46","","0","","135","57","3","0","0","0","32","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Cresswell","3","eng ENG","LB","35-349","90","0","0","0","0","0","0","0","0","66","1","3","0","0.0","0.0","0.0","2","0","38","58","65.5","5","28","0","1","0","/en/players/4f974391/Aaron-Cresswell","Stoke City","0","15","32","19","0","66","0.0","1","100.0","107","42","0","0","1","0","34","3","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Mohammed Lawal","18","ie IRL","CB","22-183","90","0","0","0","0","1","0","1","0","64","1","0","1","0.0","0.0","0.0","0","0","42","50","84.0","3","33","1","4","2","/en/players/770f1584/Mohammed-Lawal","Stoke City","7","32","28","4","4","64","50.0","1","25.0","191","102","0","0","0","1","33","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Ashley Phillips","26","wls WAL","CB","20-126","90","0","0","0","0","0","0","1","0","59","0","2","0","0.0","0.0","0.0","0","0","41","48","85.4","3","29","0","0","0","/en/players/4f21d3af/Ashley-Phillips","Stoke City","6","32","26","1","1","59","","0","","165","102","0","0","1","0","33","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Junior Tchamadeu","22","cm CMR","RB","21-342","90","0","0","0","0","0","0","0","0","67","2","0","1","0.0","0.0","0.3","4","1","39","57","68.4","5","31","6","3","2","/en/players/c19cfdae/Junior-Tchamadeu","Stoke City","1","19","36","14","2","67","66.7","1","33.3","174","111","1","0","1","1","32","5","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Viktor Johansson","1","se SWE","GK","27-076","90","0","0","0","0","0","0","0","0","47","0","0","1","0.0","0.0","0.0","0","0","29","44","65.9","0","24","0","0","0","/en/players/e4a588a7/Viktor-Johansson","Stoke City","33","44","3","0","0","47","","0","","105","72","0","0","0","0","25","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Enis Destan","39","tr TUR","FW","23-167","79","0","0","0","0","0","0","1","0","38","1","0","1","0.0","0.0","0.0","0","0","19","28","67.9","1","15","0","0","0","/en/players/4fe1f01d/Enis-Destan","Hull City","4","6","18","14","1","38","","0","","29","11","0","0","3","1","25","4","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"John Lundstram","5","eng ENG","FW","31-284","11","0","0","0","0","1","0","1","0","14","0","3","0","0.1","0.1","0.0","1","0","7","10","70.0","1","8","1","0","0","/en/players/0df2b165/John-Lundstram","Hull City","1","4","5","5","2","14","","0","","47","19","0","0","0","0","8","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Matt Crooks","25","eng ENG","CM,FW","31-313","90","0","0","0","0","0","0","1","0","39","2","2","1","0.0","0.0","0.0","2","1","22","28","78.6","5","21","2","3","1","/en/players/43f5d4e6/Matt-Crooks","Hull City","1","6","29","6","0","39","33.3","2","66.7","87","50","2","0","2","0","23","3","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Joel Ndala","19","eng ENG","LM","19-182","45","0","0","0","0","0","0","0","0","13","0","0","1","0.0","0.0","0.0","0","0","3","5","60.0","0","6","0","0","0","/en/players/e0767642/Joel-Ndala","Hull City","2","3","9","1","0","13","","0","","17","0","0","0","1","0","7","2","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Joseph","22","sct SCO","LM","24-080","45","0","0","0","0","0","0","1","0","12","1","1","0","0.0","0.0","0.0","2","0","5","7","71.4","1","4","1","1","0","/en/players/e9d29bb8/Kyle-Joseph","Hull City","3","6","2","4","1","12","0.0","1","100.0","32","18","0","0","0","0","3","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Darko Gyabi","24","eng ENG","CM","21-284","45","0","0","0","0","0","0","0","0","24","1","1","1","0.0","0.0","0.0","0","0","12","18","66.7","3","11","0","0","0","/en/players/56d838f7/Darko-Gyabi","Hull City","0","8","16","0","0","24","","0","","23","6","0","0","1","1","14","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Bachir Belloumi","10","dz ALG","RM","23-181","45","0","2","0","0","1","1","0","0","29","1","0","1","0.0","0.0","0.9","4","1","14","21","66.7","5","17","4","1","0","/en/players/b6cafcad/Bachir-Belloumi","Hull City","1","3","10","16","2","29","0.0","1","100.0","113","81","1","0","1","0","15","5","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Regan Slater","27","eng ENG","CM","26-079","79","0","0","0","0","1","0","0","0","42","1","1","0","0.0","0.0","0.0","1","0","19","33","57.6","1","20","0","0","0","/en/players/ba4d4908/Regan-Slater","Hull City","3","9","26","8","0","42","","0","","46","14","1","0","2","0","20","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Amir Hadžiahmetović","20","ba BIH","CM","28-266","11","0","0","0","0","0","0","0","0","5","0","0","0","0.0","0.0","0.0","0","0","4","5","80.0","0","3","1","0","0","/en/players/e8213ed3/Amir-Hadziahmetovic","Hull City","0","1","2","2","0","5","","0","","21","15","0","0","0","0","2","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Joe Gelhardt","21","eng ENG","FW,RM","23-209","90","1","0","0","0","4","2","0","0","42","2","1","0","0.5","0.5","0.0","6","1","16","25","64.0","1","21","1","5","3","/en/players/01962d0d/Joe-Gelhardt","Hull City","1","5","13","25","3","42","60.0","2","40.0","109","57","1","0","4","0","23","6","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Giles","3","eng ENG","LB","25-307","67","0","0","0","0","1","1","0","0","37","0","0","2","0.0","0.0","0.0","2","0","21","30","70.0","1","16","0","1","0","/en/players/73b1d65b/Ryan-Giles","Hull City","1","10","15","12","1","37","0.0","1","100.0","61","19","0","0","0","1","20","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Akin Famewo","23","eng ENG","LB","27-020","23","0","0","0","0","0","0","0","0","17","1","0","0","0.0","0.0","0.0","1","0","5","13","38.5","1","3","1","0","0","/en/players/9d9a71c1/Akin-Famewo","Hull City","1","5","7","5","0","17","","0","","46","25","1","0","0","0","3","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"John Egan","15","ie IRL","CB","33-040","90","0","0","0","0","1","1","0","0","45","3","1","1","0.0","0.0","0.0","0","0","24","30","80.0","0","13","0","0","0","/en/players/debe38a0/John-Egan","Hull City","10","27","18","1","1","45","","0","","60","30","0","0","1","0","19","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Semi Ajayi","6","ng NGA","CB","32-020","90","1","0","0","0","2","1","0","0","46","1","1","1","0.5","0.5","0.0","0","0","18","32","56.3","3","25","0","0","0","/en/players/d6192210/Semi-Ajayi","Hull City","4","27","16","3","3","46","","0","","110","46","0","0","2","0","23","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Lewie Coyle","2","eng ENG","RB","30-045","90","0","0","0","0","0","0","0","0","38","2","0","2","0.0","0.0","0.0","0","0","18","30","60.0","2","11","2","0","0","/en/players/97aba136/Lewie-Coyle","Hull City","4","14","16","8","0","38","","0","","53","39","2","0","0","0","12","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Ivor Pandur","1","hr CRO","GK","25-249","90","0","0","0","0","0","0","0","0","42","0","0","0","0.0","0.0","0.0","0","0","24","38","63.2","0","17","0","0","0","/en/players/457cb02f/Ivor-Pandur","Hull City","33","42","0","0","0","42","","0","","99","56","0","0","0","0","14","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Stoke City","Hull City","https://fbref.com/en/matches/ce253951/Stoke-City-Hull-City-November-29-2025-Championship","18","bet365 Stadium",NA,NA,NA,NA,NA,NA,NA,NA
"Colby Bishop","9","eng ENG","FW,RW","29-025","90","0","0","0","0","3","1","0","0","28","1","0","1","0.8","0.8","0.0","1","0","8","19","42.1","0","10","0","0","0","/en/players/4a7dee3b/Colby-Bishop","Portsmouth","3","5","9","14","4","28","","0","","32","6","0","0","2","2","22","4","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Josh Murphy","23","eng ENG","LW","30-278","90","0","0","0","0","4","0","1","0","41","0","0","0","0.1","0.1","0.1","3","0","19","26","73.1","3","23","5","6","1","/en/players/b30c7426/Josh-Murphy","Portsmouth","0","2","13","27","1","41","16.7","4","66.7","218","101","5","0","5","3","33","7","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Callum Lang","49","eng ENG","RW","27-082","71","0","0","0","0","1","0","0","0","21","2","0","1","0.1","0.1","0.0","2","0","11","13","84.6","2","10","2","3","1","/en/players/8df5f70b/Callum-Lang","Portsmouth","2","5","8","8","3","21","33.3","2","66.7","95","38","1","1","1","1","13","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Makenzie Kirk","25","nir NIR","FW","21-296","19","0","0","0","0","2","1","0","0","5","0","0","0","0.2","0.2","0.0","1","0","0","1","0.0","0","2","0","0","0","/en/players/f50c885e/Makenzie-Kirk","Portsmouth","0","1","0","4","2","5","","0","","2","0","0","0","1","1","5","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Adrian Segecic","10","au AUS","AM","21-181","80","0","0","0","0","0","0","0","0","34","2","0","0","0.0","0.0","0.2","2","0","12","20","60.0","1","11","0","4","1","/en/players/e515d98d/Adrian-Segecic","Portsmouth","3","5","12","17","1","34","25.0","3","75.0","39","5","0","0","2","3","13","4","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Yang Minhyeok","47","kr KOR","AM","19-227","10","0","0","0","0","0","0","0","0","3","2","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","1","0","0","0","/en/players/fe3db176/Yang-Minhyeok","Portsmouth","0","1","1","1","0","3","","0","","0","0","0","0","0","0","1","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Andre Dozzell","21","eng ENG","DM","26-211","52","0","0","0","0","0","0","1","0","24","2","1","1","0.0","0.0","0.4","2","0","14","16","87.5","1","6","0","1","1","/en/players/8f660142/Andre-Dozzell","Portsmouth","2","7","12","5","0","24","100.0","0","0.0","11","3","0","0","0","1","11","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Márk Kosznovszky","18","hu HUN","DM","23-226","38","0","0","0","0","0","0","0","0","17","1","0","1","0.0","0.0","0.0","1","0","11","12","91.7","2","3","0","0","0","/en/players/185bf610/Mark-Kosznovszky","Portsmouth","1","2","11","4","1","17","","0","","12","0","0","0","0","0","6","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Marlon Pack","7","eng ENG","DM","34-249","90","0","0","0","0","0","0","0","0","68","1","1","0","0.0","0.0","0.2","3","0","43","60","71.7","4","16","0","1","1","/en/players/8633b350/Marlon-Pack","Portsmouth","3","26","25","17","0","68","100.0","0","0.0","76","26","1","0","0","0","25","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Zak Swanson","22","eng ENG","LB,RB","25-062","81","0","0","0","0","0","0","0","0","34","1","1","2","0.0","0.0","0.0","0","0","13","21","61.9","3","10","0","0","0","/en/players/5b7381b5/Zak-Swanson","Portsmouth","7","17","14","3","0","34","","0","","37","3","0","0","0","0","12","2","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Conor Chaplin","36","eng ENG","RB","28-286","9","0","0","0","0","1","0","0","0","10","0","0","0","0.0","0.0","0.4","3","0","7","9","77.8","2","6","0","1","1","/en/players/4ec55b87/Conor-Chaplin","Portsmouth","0","1","4","5","0","10","100.0","0","0.0","40","12","1","0","0","0","7","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Regan Poole","5","wls WAL","CB","27-164","90","0","0","0","0","0","0","1","0","62","1","2","2","0.0","0.0","0.0","1","0","35","47","74.5","1","21","2","0","0","/en/players/5402f0de/Regan-Poole","Portsmouth","10","27","34","2","1","62","","0","","133","74","0","0","0","0","30","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Josh Knight","4","eng ENG","CB","28-083","90","0","0","0","0","2","0","0","0","47","1","0","0","0.4","0.4","0.0","0","0","19","30","63.3","0","8","0","0","0","/en/players/5c0c30cc/Josh-Knight","Portsmouth","6","14","30","3","3","47","","0","","63","24","0","0","0","0","13","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Williams","2","eng ENG","RB,LB","26-038","80","0","0","0","0","0","0","0","0","58","2","1","4","0.0","0.0","0.0","1","0","28","44","63.6","3","22","5","5","1","/en/players/686e3e0b/Jordan-Williams","Portsmouth","5","13","35","12","0","58","20.0","3","60.0","261","165","4","0","0","0","29","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"John Swift","8","eng ENG","LB","30-159","10","0","0","0","0","0","0","0","0","14","0","0","0","0.0","0.0","0.0","2","0","10","13","76.9","2","5","0","1","0","/en/players/646ee278/John-Swift","Portsmouth","0","2","7","5","0","14","0.0","1","100.0","21","11","1","0","0","0","10","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Nicolas Schmid","1","at AUT","GK","28-280","90","0","0","0","0","0","0","0","0","53","0","0","0","0.0","0.0","0.0","0","0","24","52","46.2","0","32","0","0","0","/en/players/ecfb5832/Nicolas-Schmid","Portsmouth","32","52","1","0","0","53","","0","","246","120","0","0","0","0","22","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Anis Mehmeti","11","al ALB","FW","24-324","90","1","0","0","0","6","2","0","0","38","1","0","0","0.6","0.6","0.3","2","0","9","22","40.9","0","26","7","6","1","/en/players/48a08f79/Anis-Mehmeti","Bristol City","0","4","11","24","7","38","16.7","5","83.3","210","90","4","3","1","2","28","8","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Emil Riis Jakobsen","18","dk DEN","FW","27-158","61","0","0","0","0","1","1","0","0","20","0","0","0","0.1","0.1","0.0","0","0","10","13","76.9","1","13","0","0","0","/en/players/292cdb26/Emil-Riis-Jakobsen","Bristol City","1","1","10","9","1","20","","0","","44","13","0","0","4","0","15","4","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Sinclair Armstrong","30","ie IRL","FW","22-160","29","0","0","0","0","0","0","0","0","12","1","0","0","0.0","0.0","0.0","1","0","5","8","62.5","0","9","2","1","0","/en/players/c2bf2522/Sinclair-Armstrong","Bristol City","0","0","4","8","0","12","0.0","1","100.0","69","36","1","0","1","1","9","3","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Scott Twine","10","eng ENG","AM","26-138","89","0","0","0","0","6","1","0","0","39","3","1","0","0.8","0.8","0.3","7","0","16","24","66.7","5","29","2","1","1","/en/players/5a425cab/Scott-Twine","Bristol City","1","8","23","10","5","39","100.0","0","0.0","137","77","1","1","1","3","24","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Yu Hirakawa","7","jp JPN","AM","24-329","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0","/en/players/578e7583/Yu-Hirakawa","Bristol City","0","1","0","0","0","1","","0","","0","0","0","0","0","0","0","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Mark Sykes","17","ie IRL","CM","28-117","90","0","0","0","0","1","0","0","0","53","3","0","0","0.0","0.0","0.0","2","1","28","45","62.2","6","25","0","1","1","/en/players/40580929/Mark-Sykes","Bristol City","3","14","24","15","0","53","100.0","0","0.0","98","38","3","0","0","0","20","0","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Adam Randell","4","eng ENG","CM","25-059","90","0","0","0","0","0","0","0","0","52","0","1","0","0.0","0.0","0.0","3","0","32","45","71.1","3","24","2","2","1","/en/players/769ff238/Adam-Randell","Bristol City","2","15","30","8","0","52","50.0","0","0.0","103","64","0","0","1","0","27","1","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
"Neto Borges","21","br BRA","WB","29-077","90","0","1","0","0","1","1","0","0","51","5","5","0","0.0","0.0","0.5","4","1","26","32","81.3","2","23","4","1","0","/en/players/9f936061/Neto-Borges","Bristol City","3","24","13","16","3","51","0.0","1","100.0","191","119","1","2","0","1","17","2","Championship","2025-2026","Saturday November 29, 2025, 12:30 (venue time)","Portsmouth","Bristol City","https://fbref.com/en/matches/18a7da9a/Portsmouth-Bristol-City-November-29-2025-Championship","18","Fratton Park",NA,NA,NA,NA,NA,NA,NA,NA
